Input Vector,Output Signature
00000000,10001000
00000001,10001001
00000010,10001010
00000011,10001011
00000100,10001100
00000101,10001101
00000110,10001110
00000111,10001111
00001000,10000100
00001001,10000101
00001010,10000110
00001011,10000111
00001100,10000110
00001101,10000111
00001110,10000111
00001111,10000111
00010000,10011000
00010001,10011001
00010010,10011010
00010011,10011011
00010100,10011100
00010101,10011101
00010110,10011110
00010111,10011111
00011000,10010100
00011001,10010101
00011010,10010110
00011011,10010111
00011100,10010110
00011101,10010111
00011110,10010111
00011111,10010111
00100000,10101000
00100001,10101001
00100010,10101010
00100011,10101011
00100100,10101100
00100101,10101101
00100110,10101110
00100111,10101111
00101000,10100100
00101001,10100101
00101010,10100110
00101011,10100111
00101100,10100110
00101101,10100111
00101110,10100111
00101111,10100111
00110000,10111000
00110001,10111001
00110010,10111010
00110011,10111011
00110100,10111100
00110101,10111101
00110110,10111110
00110111,10111111
00111000,10110100
00111001,10110101
00111010,10110110
00111011,10110111
00111100,10110110
00111101,10110111
00111110,10110111
00111111,10110111
01000000,11001000
01000001,11001001
01000010,11001010
01000011,11001011
01000100,11001100
01000101,11001101
01000110,11001110
01000111,11001111
01001000,11000100
01001001,11000101
01001010,11000110
01001011,11000111
01001100,11000110
01001101,11000111
01001110,11000111
01001111,11000111
01010000,11011000
01010001,11011001
01010010,11011010
01010011,11011011
01010100,11011100
01010101,11011101
01010110,11011110
01010111,11011111
01011000,11010100
01011001,11010101
01011010,11010110
01011011,11010111
01011100,11010110
01011101,11010111
01011110,11010111
01011111,11010111
01100000,11101000
01100001,11101001
01100010,11101010
01100011,11101011
01100100,11101100
01100101,11101101
01100110,11101110
01100111,11101111
01101000,11100100
01101001,11100101
01101010,11100110
01101011,11100111
01101100,11100110
01101101,11100111
01101110,11100111
01101111,11100111
01110000,11111000
01110001,11111001
01110010,11111010
01110011,11111011
01110100,11111100
01110101,11111101
01110110,11111110
01110111,11111111
01111000,11110100
01111001,11110101
01111010,11110110
01111011,11110111
01111100,11110110
01111101,11110111
01111110,11110111
01111111,11110111
10000000,01001000
10000001,01001001
10000010,01001010
10000011,01001011
10000100,01001100
10000101,01001101
10000110,01001110
10000111,01001111
10001000,01000100
10001001,01000101
10001010,01000110
10001011,01000111
10001100,01000110
10001101,01000111
10001110,01000111
10001111,01000111
10010000,01011000
10010001,01011001
10010010,01011010
10010011,01011011
10010100,01011100
10010101,01011101
10010110,01011110
10010111,01011111
10011000,01010100
10011001,01010101
10011010,01010110
10011011,01010111
10011100,01010110
10011101,01010111
10011110,01010111
10011111,01010111
10100000,01101000
10100001,01101001
10100010,01101010
10100011,01101011
10100100,01101100
10100101,01101101
10100110,01101110
10100111,01101111
10101000,01100100
10101001,01100101
10101010,01100110
10101011,01100111
10101100,01100110
10101101,01100111
10101110,01100111
10101111,01100111
10110000,01111000
10110001,01111001
10110010,01111010
10110011,01111011
10110100,01111100
10110101,01111101
10110110,01111110
10110111,01111111
10111000,01110100
10111001,01110101
10111010,01110110
10111011,01110111
10111100,01110110
10111101,01110111
10111110,01110111
10111111,01110111
11000000,01101000
11000001,01101001
11000010,01101010
11000011,01101011
11000100,01101100
11000101,01101101
11000110,01101110
11000111,01101111
11001000,01100100
11001001,01100101
11001010,01100110
11001011,01100111
11001100,01100110
11001101,01100111
11001110,01100111
11001111,01100111
11010000,01111000
11010001,01111001
11010010,01111010
11010011,01111011
11010100,01111100
11010101,01111101
11010110,01111110
11010111,01111111
11011000,01110100
11011001,01110101
11011010,01110110
11011011,01110111
11011100,01110110
11011101,01110111
11011110,01110111
11011111,01110111
11100000,01111000
11100001,01111001
11100010,01111010
11100011,01111011
11100100,01111100
11100101,01111101
11100110,01111110
11100111,01111111
11101000,01110100
11101001,01110101
11101010,01110110
11101011,01110111
11101100,01110110
11101101,01110111
11101110,01110111
11101111,01110111
11110000,01111000
11110001,01111001
11110010,01111010
11110011,01111011
11110100,01111100
11110101,01111101
11110110,01111110
11110111,01111111
11111000,01110100
11111001,01110101
11111010,01110110
11111011,01110111
11111100,01110110
11111101,01110111
11111110,01110111
11111111,01110111
